0,5507,6658
0,5913,6657
0,10079,9688
8,12579,11112
12,13904,12129
14,14486,12746
15,14742,13224
16,17706,14701
21,19006,15900
23,18521,15888
23,18069,15876
22,9907,9861
7,5678,6656
0,5546,6636
0,5568,6649
0,10941,9981
9,10855,10032
9,12190,10960
11,13557,11722
14,13859,12048
14,13702,12038
14,14320,12435
15,16641,14234
19,18538,15763
23,19875,16741
25,23572,18785
31,27208,20679
38,34584,23266
51,42918,25445
66,53833,27291
85,53804,27400
85,57343,27967
91,54660,27538
87,50040,26666
78,44264,25839
68,36998,24031
55,33474,23049
49,26982,20701
38,21574,18052
28,15964,14376
18,12095,11570
11,10946,10720
9,7281,7976
3,5783,6778
0,5772,6773
0,5516,6766
0,6174,6778
1,9462,8825
7,10733,10004
9,12064,10842
11,13244,11810
13,13859,12328
14,14549,13057
16,15483,13696
17,17365,14476
21,17658,14859
21,19148,15924
24,19992,16442
25,20635,16708
26,21079,17084
27,22431,17789
29,23438,18460
31,24341,18834
33,24264,19473
33,25191,19993
34,27270,20820
38,27600,20888
39,27481,20902
38,29689,21781
42,30600,22249
44,32287,22742
47,32941,23083
48,34997,23298
52,36561,23861
54,36918,23999
55,38243,24283
57,38836,24609
59,46026,26173
71,54144,27281
86,56956,27533
91,57735,27763
92,61116,28212
98,60925,28218
98,59553,28198
95,62439,28210
100,61519,28236
99,59841,28270
96,62830,28308
100,62935,28288
100,62537,28291
100,61479,28311
99,53246,27500
84,51997,27165
82,50469,27104
79,52042,27017
82,52162,26949
82,51998,26921
82,47095,26557
73,46619,26158
72,45108,26158
70,46844,26094
73,43367,25849
67,43595,25781
67,43229,25801
66,42534,25675
65,42086,25470
64,43144,25474
66,42354,25308
65,40985,25066
62,40479,25077
61,39979,24872
61,38257,24502
57,36611,24352
55,38280,24313
58,37536,24261
56,36626,24148
55,36225,24028
54,35154,23915
52,34071,23610
50,35147,23562
52,33804,23586
50,34087,23226
50,32766,23032
48,32044,22685
46,30736,22310
44,31191,22251
45,30800,22012
44,30350,21812
43,29405,21444
42,27987,20936
39,27747,20853
39,27413,20678
38,26864,20376
37,26078,20176
36,25995,20057
36,25682,19905
35,25367,19764
35,25126,19785
34,24797,19697
34,25008,19588
34,25070,19420
34,23544,19282
31,23539,19096
31,23891,19003
32,23481,18920
31,23545,18648
31,23408,18592
31,22844,18476
30,22866,18381
30,22255,18369
29,22776,18313
30,22577,18153
30,22527,18036
30,22127,17807
29,21139,17661
27,21561,17592
28,21609,17508
28,20186,17186
25,19848,17064
25,19542,16867
24,19685,16611
25,19847,16433
25,19193,16220
24,19326,16085
24,18594,15656
23,18244,15451
22,17815,15337
21,17334,15224
20,17781,15056
21,16653,14835
19,17256,14687
20,16874,14528
20,16628,14385
19,15948,14117
18,15144,13727
17,14933,13448
16,14996,13294
16,14919,13072
16,14043,12648
15,13539,12332
14,12692,11840
12,12536,11769
12,13010,11641
13,12043,11042
11,11832,10868
11,10759,10186
9,10509,10120
8,9868,9804
7,10106,9737
8,9408,9278
6,8593,8672
5,7198,7794
3,6200,7225
1,5661,6833
0,5874,6824
0,5861,6780
0,5704,6745
0,5576,6643
0,5767,6658
0,5543,6669
0,5773,6673
0,5522,6672
0,5779,6662
0,6194,6826
1,8120,8028
4,8249,8204
4,8757,8552
5,8937,8765
6,9573,9240
7,9713,9393
7,9991,9517
7,10224,9662
8,10947,10046
9,12150,10932
11,12466,11293
12,13864,12390
14,14498,12964
15,15515,13594
17,17312,15001
20,18536,15840
23,19196,16295
24,19310,16312
24,20143,16884
25,22145,18106
29,23828,18729
32,28673,20963
41,30610,22116
44,32324,22889
47,36758,24228
55,44697,25975
69,52343,27249
82,58736,28054
94,60890,28216
98,60878,28226
98,62120,28226
100,60780,28222
97,61456,28235
99,62234,28243
100,54904,27323
87,49550,26898
77,40653,25288
62,27019,20888
38,18369,15676
22,5700,6764
0,5667,6657
0,5673,6676
0,5619,6663
